genre,size,price,rating,review_count,downloads
0,47,0,4.3,1329648,3
0,140,0,4.6,730394,3
1,58,0,4.4,2039874,3
1,46,0,4.3,1035966,3
1,108,0,4.3,1157552,3
1,1.4,0,4.3,5208820,3
1,46,0,4.3,1036489,3
1,129,0,4.3,1321958,3
1,57,0,4.3,238597,3
1,21,0,4.3,1130010,3
1,34,0,4.3,398618,3
1,97,0,3.9,365063,3
1,48,0,3.9,272087,3
1,43,0,4,303948,3
1,690,0,3.9,752187,3
1,48,0,3.9,373293,3
1,46,0,4,139316,3
1,193,0,4,292638,3
1,108,0,4.3,1158528,3
1,12,0,4.2,631765,3
1,83,0,4.3,536198,3
1,58,0,4.4,2040725,3
1,35,0,3.8,141408,3
1,35,0,4.4,877229,3
1,59,0,3.9,302427,3
1,32,0,4.1,244282,3
1,33,0,3.8,132862,3
1,59,0,4.1,272443,3
1,32,0,3.3,146730,3
1,5.4,0,3.9,123492,3
1,25,0,4.3,930788,3
1,6,0,4.5,2293987,3
1,13,0,4.1,132777,3
1,4.7,0,4.2,128720,3
1,4,0,4.2,99028,3
1,25,0,3.6,48185,3
1,61,0,4.3,1231893,3
1,104,0,4,438100,3
1,15,0,4.3,407119,3
1,11,0,4.3,232053,3
1,5.4,0,4.4,838243,3
1,40,0,4.3,2492274,3
1,32,0,3.3,146902,3
1,5.4,0,3.9,123528,3
1,12,0,4,894541,3
1,52,0,4.3,128631,3
1,6.4,0,4.1,49748,3
1,35,0,4.3,315909,3
1,89,0,4.3,811905,3
1,37,0,3.7,121176,3
1,5.6,0,4.2,152340,3
1,20,0,4,557222,3
1,39,0,4.3,885940,3
2,35,0,4.5,887307,3
2,63,0,4.2,344854,3
2,43,0,4.2,574549,3
2,50,0,4.2,500430,3
2,1.4,0,3.8,92686,3
2,8.6,0,4.5,1035460,3
2,7.5,0,4.2,986772,3
2,62,0,4.4,2430734,3
2,4.5,0,4.2,754346,3
2,79,0,4.4,3086277,3
2,19,0,3.7,358514,3
2,10,0,3.8,403684,3
2,28,0,4.5,124989,3
